Description,Headings,Labels
kassen kriens kriens,"['plötzlich halbe million reicher stadtbibliothek kriens zentralplus', 'pilatus bergbahnen preise preise pilatusbahnen', 'kriens the gateway to mt pilatus', 'coop kiosk kriens schappe center', 'anmeldung zuzug stadt kriens', 'soviel steuern zahlen reiche in luzern kriens horw', ""die reichen zieht's nach luzern horw weshalb die kassen in"", 'ärztekasse genossenschaft']",Undefined
hotel at booking.com amsterdam - 163.77 eur,"['city centre bookingcom', 'met bookingcom', 'best hotels netherlands from bookingcom', 'in the netherlands bookingcom', 'swissôtel bookingcom', 'city center bookingcom', 'bookingcom', 'the alfred amsterdam updated prices bookingcom']",Travel
bonta' venezia - 2.0 eur,"['venezia san samuele البندقية إيطاليا بدءا من us', 'veneziasan marco view on luxury shopping street', 'bontà mestre ristorante recensioni numero di telefono foto', 'official journal eurlex', 'hotel villa stella recensioni prezzi offerte per il expediait', 'فنادق قريبة من سان بولو البندقية venice hotels', 'pasticceria da bonifacio venezia castello tripadvisor', 'th european headache federation congress jointly with st', 'فنادق فورينو من giardini poseidon wwwtrivagoae', 'فنادق فولونيكا من follonica wwwtrivagoae']",Dining
foodland asia znrich - 41.8 chf,"['unk the of and in stanford university', 'veyvondi trockensubstanz ie solv set цюрих', 'iphone ekran koruyucu spigen rqxncip', 'baywa ag annual report yumpu', 'cosentyx sensoready inj lös mg ml fertpen цюрих', 'asia im foodland zurich restaurant reviews photos phone', 'vocabtxt cloud object storage amazon', 'top best chicken shop in muotathal schwyz switzerland', 'distribution test face recognition face perception']",Dining
lidl muri muri ag - 30.85 chf,[],Supermarket
scc0555 sunrise zh flu znrich - 19.9 chf,['sunrise flughafen zuerich'],Travel
sbb bahnhof hb znrich znrich - 13.6 chf,"['hauptbahnhof herzlich willkommen sbb', 'hauptbahnhof zürich nach buchsdällikon per zug taxi oder auto', 'pdf sbbgebäude zürich', 'neues zürcher sbbreisezentrum im südtrakt des hauptbahnhofs', 'sbb immobilien', 'sbb trafimage', 'sbb', 'zurich airport to zurich hauptbahnhof zones switzerland forum', 'pdf hauptbahnhof', 'rund um die uhr sbb']",Transport
tamoil bernstr. dietikon - 1.9 chf,"['pdf bidirektionales laden autos im test grosser', 'best compras near moosmattstrasse dietikon', 'pdf annuel adminch', 'dietikon bernstrasse', 'lipo by factum ag issuu', 'dietikon zürcherstrasse', 'tamoil switzerland oilinvest', 'tamoil schlieren bernstrasse', 'petrol station tamoil station dietikon fuelonet', 'best kiosk in spreitenbach aargau switzerland yelp']",Transport
sixt9924576107 clmr basel - 221.96 chf,[],Travel
trenitalia - lefrecce roma - 244.0 eur,"['advanced search trenitalia', 'trenitalia it', 'biglietti trenitalia acquista online orari treni offerte trainline', 'le frecce di trenitalia']",Travel
ve.la. s.p.a. venezia - 19.0 eur,"['experiences near four points by sheraton venice mestre marriott', 'best spas in venice wanderlog', 'jw marriott venice resort spa reviews deals photos', 'hotel terme venezia abano terme italy sanatoriumscom', 'venezia unica by spa getyourguide supplier', 'who we are avm', 'pdf yearbook of tourism data comune di venezia', 'payments avm', 'best massage spas wellness centers in veneto']",Travel
ali' mestre - 14.32 eur,"['economics rankings european union ideasrepec', 'microplastic ingestion by commercial marine fish from the seawater', 'official european rankings sdms', 'designing robust stochastic dynamic model to allocating health', 'alì mestre via sforza volantino orari offerte servizi', 'diones as antiinflammatory agents with dual inhibition of cox and', 'pdf th eahp congress european association of hospital pharmacists', 'pdf spread and dynamics of the covid epidemic in italy effects of']",Undefined
pizzeria da michele ca venezia - 9.5 eur,"['michele pizza risto restaurant', 'michele authentic italian pizza pasta delivery', 'michele in the world', 'michele jbr deliveroo', 'michele restaurant reviews', 'michele pizzeria_da_michele_dubai', 'michele naples michelin guide restaurant', 'michele pizzeria restaurant in venice']",Dining
gelateria capriccio venezia - 7.0 eur,"['di genova dove gustare gelati più buoni', 'gelateria capriccio fossalta di piave ristorante recensioni', 'punti vendita azzurro service', ""capriccio tutto quello che c'è da sapere aggiornato"", 'di roma pigneto dal carla fino', 'hotels near gelateria carla in rome tripcom', 'casa capriccio spiaggia grande positano italia da', 'le gelaterie artigianali migliori del da dissapore', 'pdf elenco degli esercizi convenzionati roma capitale', 'culinary delights in ospedaletto di gemona del friuli']",Dining
al gabbiano sas venezia - 7.0 eur,"['pdf annual report leonardo', 'hotel ristorante gabbiano ponte di piave bookingcom', 'gabbiano hotel prices reviews tripadvisor', 'pdf wildlife strike relazione annuale enac', 'gabbiano venice menu prices restaurant reviews', 'ristoranti venezia gabbiano ristorante venezia sestiere castello']",Dining
atvo spa mestre venezia - 6.0 eur,"['airport bus service atvo', 'treviso mestre and venice by express bus getyourguide', 'airport transfers headout', 'airport vce to station romerio', 'how to get to atvo spa in venezia by ferry bus or train moovit', ""atvo tutto quello che c'è da sapere aggiornato"", 'atvo all you need to know before you go with photos', 'all timetable atvo', 'how do you travel from mestre veniceinformationcom', 'bus station to airport from']",Transport
mida il gelato venezia mestr - 3.6 eur,"['takeaway delivery in mestre order with deliveroo', 'consegna domicilio mestre ordina con deliveroo', 'moaxfp ucar試車', 'بلا عنوان']",Dining
ao hotels and hostels venezia - 215.46 eur,"['cheap hotel ao veneziamestre venice from night', 'mestre aed venice hotel deals reviews', 'ao mestre province of venice italy', 'mestre bookingcom', 'stay in venice for night ao hostels', 'venice updated prices deals', 'venice prices reviews']",Travel
pizzeria da michele mestre - 47.7 eur,"['michele via cappuccina home mestre italy', 'michele pizza ristò ristorante', 'ristorante michele', ""l'antica michele alla mostra del cinema di venezia"", 'ristorante', 'mestre apps on', 'the history of michele in mestre venice', 'michele pizzeria restaurant in venice']",Dining
billa dankt linz - 9.74 eur,"['of neues genealogisches reichs und staatshandbuch auf', 'vocabtxt cloud object storage amazon', 'of mimeograph letters and statements of the board july', 'me bar ilan nlp lab']",Undefined
fsa2018 linz - 5.2 eur,['pdf rawson thesis intelligent geospatial analytics for maritime risk'],Undefined
bipa dankt linz - 3.5 eur,"['pdf amtsblatt wienbibliothek digital', 'bipa online shop parfümerie drogerie das leben ist schön']",Shopping
gazzar islam mestre - 3.0 eur,"['thrombosis aha journals', 'pdf الوجود اإلسالمي في أوروبا ومستقبله مركز الرافدين للحوار rcd', 'pdf energy levels of light nuclei tunl nuclear data project', 'items where year is doras dublin city university', 'sean gelael team ifotqnh supermercados mas', 'peroxidase gpx glutathione sciencegov', 'pdf interpersonal acceptancerejection bibliography', 'idiopathic arthritis sojia sciencegov', 'pdf os portugueses no golfo uma história', 'luca lo pinto connaissance des énergies']",Undefined
dm-fil. 0791 linz - 2.95 eur,[],Undefined
park inns internationa linz - 4.0 eur,"['hotel agodacom', 'linz austria', 'meeting rooms events linz city center inn', 'linz hotels kayak', 'hotels linz old town inn hotel radisson hotels', 'linz bookingcom', 'linz makemytrip', 'linz reviews deals photos expedia', 'linz hotelscom philippines']",Travel
intersport winninger linz - 49.98 eur,['intersport winninger linz linz la sportiva uk'],Shopping
linz souvenir linz - 42.0 eur,"['gioseppo linz beige shoes high top trainers child', 'linz birkenshop', 'linzgrip black natural leather myshoeshop', ""birkenstock men's linz shoe antistaticnatural leather black size"", 'linz bar all you need to know before you go with photos', 'stokke xxxlutz gmbh linz store finder', 'souvenirs from linz', 'birkenstock linz chef clogs work shoes ace chef apparels', 'linz puffer jacket matt nat europe']",Shopping
subway linz - 14.58 eur,['subway restaurants subway at landstr linz ob'],Dining
billa dankt linz - 14.39 eur,"['ivorydatavocabvocabarenen at master lintoolivory github', 'forum gästebuch sonedat', 'me bar ilan nlp lab', 'pdf stenografischer bericht landtag steiermark', 'vocabtxt cloud object storage amazon', 'infopoint yumpu', 'stenographisches protokoll sitzung xxvii gp des nr', 'pdf guia oficial timetable world']",Undefined
eurospar dankt 3424 linz - 1.29 eur,"['ivorydatavocabvocabarenen github', 'ivorydatavocabvocabendeen github', 'full text of literaturblatt fur orientalische philologie', 'me bar ilan nlp lab']",Supermarket
austrian2572158845066 basel - 201.75 chf,[],Travel
austrian2572158845065 basel - 201.75 chf,[],Travel
austrian2571872906769 basel - 30.0 chf,[],Travel
austrian2571872906768 basel - 30.0 chf,[],Travel
annual fee,"['is fee and it capital one', 'pay fee ministry of economy uae', 'understanding fees and how to avoid them', 'fees are they it forbes advisor', 'fee definition and meaning collins english dictionary', 'is paying fee it bankrate', 'is fee on card forbes', 'pdf card services and price guide inclusive of vat', 'worth paying fee cnbc']",Undefined
vat on annual fee,"['charging on membership fees and events white fuse', 'vat ministry of finance emirates', 'on directors service fees tax treatment alya auditors', 'pdf vat user guide returns', 'pdf fees charges commercial bank of dubai', 'pdf consumer card service guide excluding vat', 'vat qa should pay on health club membership paid for', 'emirates corporate other taxes', 'on annual card fee head for points', 'pdf card services guide inclusive of vat']",Subscriptions
omio omio 19179243330 - 152.79 eur,['omio book search compare trains buses flights ferries'],Travel
cc taxicenter gmbh wien - 21.0 eur,"['gmbh wien eulerpool', 'gmbh bezirk liesing wien firmenabcat', 'wien wko firmen az', 'pdf gmbh taxi', 'wien firmeninfoat', 'gmbh fn b wirtschaftat', 'impressum taxi', 'gmbh mobilitydata austria', 'cc taxi center iru world road transport organisation']",Transport
sumup *taxi abdul kar linz - 17.9 eur,['pdf enhancing customer experience in the service industry'],Transport
airport lounge visit loungekey.com - 32.0 usd,"['lounge key', 'cards features global lounge access adcb', 'pdf frequently asked questions airport lounge']",Travel
burgerista linz linz - 21.0 eur,"['linz photos restaurant reviews tripadvisor', 'linz volksgartenviertel order online food delivery']",Dining
centralapotheke linz - 12.8 eur,"['centralapotheke linz oberösterreich apoat', 'centralapotheke ihre apotheke linz', 'anfrage kontakt centralapotheke', 'centralapotheke mozartstraße linz unsereapothekenat', 'centralapotheke city shopping linz']",Healthcare
surace gelateria lands linz - 7.6 eur,"['pdf developing sustainable agriculture in pakistan researchgate', 'structural phase transition of ammonia hydrate under high pressure', 'jkefe hlnkysg unbearable awareness is', 'biocatalysts and enzyme technology pdf cqilnjsbqbg vdocpub', 'pdf risk propensity locus of control achievement motivation', 'pdf an international peer reviewed open access journal']",Dining
mensa linz linz - 4.8 eur,"['the impact of patientreported penicillin or cephalosporin allergy', 'origin and dissemination of prunus crops acta horticulturae', 'respiratory infections in the us military recent experience and', 'pdf studieren probieren guidance programme for prospective', 'macrolide resistance mechanisms topics by sciencegov', 'contesting europe brill', ""what was adolf hitler's estimated iq quora"", 'pdf haushaltsplan vglinz', 'the mining and application of diverse cultural perspectives in user', 'pdf abstract book european association of hospital pharmacists']",Undefined
fsa2064 linz - 2.6 eur,[],Undefined
dm-fil. 0047 linz - 2.35 eur,[],Undefined
oebb ticket automat wien - 21.3 eur,"['öbb ticketautomat', 'ihr weg zum ticket öbb', 'pdf ticketvertriebssystem der öbbpersonenverkehr ag', 'oder stunden wien wiener linien', 'fahrkartenautomat thema auf meinbezirkat', 'neue öbb ticketautomaten ccmtvat', 'öbbticketautomaten neue bedienoberfläche konsument', 'pdf handbuch für reisen mit den öbb ins ausland postbus']",Transport
turm÷l 174 linz - 23.57 eur,"['adolescents ncbi', 'experimental evidence for the effect of mental segregation of tax', 'pdf separate financial statements porsche se', 'pdf response to your request for official information ministry of health nz', 'report jcdecaux', 'pdf hariom pipe industries limited cloudfrontnet', 'report fortum', 'pdf promotion of business transfers in the baltic sea region inbets', 'pdf adolescents', 'pdf reference document jcdecaux']",Undefined
burgerista linz linz - 20.0 eur,"['allgemeine geschäftsbedingungen für kunde', 'burgeristainsolvenz zieht holding in den konkurs nachrichtenat', 'best of burger linza', 'linz photos restaurant reviews tripadvisor', 'linz volksgartenviertel order online food delivery', 'burger die schmecken kurier', 'the best burgers near pramwald pramwald', 'zu landstraße reisetipps holidaycheck', 'reisetipps landstraße von urlaubern holidaycheck']",Dining
grand hotel wiesler graz - 6.8 eur,"['graz hotel de', 'wiesler graz bookingcom', 'graz info photos reviews hotelscom', 'hotel weitzer graz graz in graz hotels', 'graz autriche de', 'graz bei hrs günstig buchen', 'kontakt graz', 'graz michelin guide hotel', 'graz ab tripadvisor', 'wiesler']",Travel
best food grill 4 graz - 9.8 eur,"['grill', 'grill graz delivery menu reviews foodoraat mjamnet', 'food jagerberg steiermark austria last updated january', 'grill annenstrasse graz lend tripadvisor', 'best greek in graz updated tripadvisor', 'award winning star maldives resort ja manafaru', 'awesome home in eisenberg an der pinka with bedrooms and wifi', 'best in croydon thefork']",Dining
virgin mobile uae (eit dubai,"['uae reviews of trustpilot', 'uae', 'uae on the', 'mobile store locations in uae', 'tourist card dubai uae', 'how can change my plan uae', 'uae buy card online minutes free delivery', 'uae products competitors financials employees']",Utilities
douglas 39 graz - 162.85 eur,"['access statistics for alicetechhtm nus computing', 'pdf move more annualreportscom', 'pdf deep foundations of highrise building an insitu testing and', 'netconttxt gwdg', 'of los angeles times vol archive', 'of financial times uk english archive']",Undefined
coffeeshop baristas graz - 13.2 eur,['coffeeshop baristas graz baristasgraz'],Dining
bipa dankt graz - 10.0 eur,"['xls transaktionen majunke consulting', 'pdf fusionen und übernahmen wettbewerbsbericht der akwien', 'xls sheet quarry', 'forschung und praxis an der fhwien der wkw', 'medianet issuu', 'radparade компмастеррф', 'pdf rateboard wird teil der italienischen zucchetti group bluecode und', 'global industry analysis forecast to pjnwacu 네이버', 'pencils on pencil in pencil zoijdub jjgirls']",Undefined
new yorker graz - 4.99 eur,"['products yorker', 'fashion yorker', 'yorker']",Shopping
pressehaus souvenirs graz - 4.95 eur,[],Shopping
gelateria italiana graz - 3.5 eur,"['graz lend reviews', 'il cedro del libano un albero protetto', 'graz photos reviews', 'بلا عنوان']",Dining
dm-fil. 0459 graz,"['markt shopinfo citypark graz', 'markt österreich graz', 'markt murgasse graz', 'markt', 'dm ihre drogerie im murpark graz shoppingcenter', 'deutsche fernostbibliographie deutschsprachige', 'markt jakominiplatz graz', 'dm fotoparadies ihr fotoservice von dmdrogerie']",Shopping
action 7040 graz - 10.7 eur,"['pdf vienna insurance group wiener börse', 'pdf consolidated financial statements raiffeisen bank international ag', 'activitybased probes for studying the activity of flavindependent', 'questions and answers on legal parts edopomohaorg', 'xls com assignments in cty order icao', 'pdf mandrels collet chucks ryttergaard', 'pdf clean transport support to the member states for the', 'pdf costcompetitive renewable power generation potential irena', 'придбати trumpf trulaser бу machineseeker', 'pdf omv annual report']",Undefined
strassenbahn graz graz - 5.4 eur,"['ticketshop graz', 'park and ride wien pr parkhäuser im überblick', 'busse strassenbahn graz bus bahn bim grazer linien ticket', 'pdf tarif bestimmungen graz', 'tarifbestimmungen verbund linie', 'isdiah stadtarchiv graz', 'graz nach wetzelsdorf per bus linie straßenbahn taxi oder zu fuß', 'pdf övs graz endbericht', 'pdf beschaffung und einsatz von niederflurstraßenbahnen für den']",Transport
zotter schokoladen riegersburg - 26.3 eur,"['zotter onlineshop experience world schokolade', 'prices choco tour schokolade', 'schokolade zotterschokolade photos and videos']",Shopping
asia koko graz - 18.4 eur,"['pdf survey on standard weights of passengers and baggage easa', 'the palgrave handbook of euasia relations', 'koko asia food graz lend menu prices restaurant reviews', 'pdf bird strike committee europe bsce th meeting bern dtic', 'is maine coon your favourite cat breed vetlife drima_vet tiktok', 'pdf omv on the move in annual report wiener börse', 'pdf fao unesco soil map', 'the closest hotels to stift goess leoben tripadvisor', 'ilds by mondiale media issuu']",Dining
pressehaus souvenirs graz - 10.9 eur,[],Shopping
arabia taxi dubai,"['ramool local', 'dubai', 'local', 'taxi taxi service dubai', 'taxi rak arabia holdings dubai united arab emirates', 'llc', 'taxi in uae', 'dubai jobs for taxi drivers dubai', 'taxi', 'ramool']",Transport
gelateria italiana graz - 19.3 eur,['gelateria italiana by luis graz photos restaurant reviews'],Dining
dm-fil. 0459 graz - 9.9 eur,[],Undefined
cars taxi dubai,"['taxi uae', 'services coprivate transport in quoz industrial dubai', 'company', 'taxi', 'taxi dubai carstaxi', 'company quoz transportation service in dubai', 'home cars taxiuae', 'services dubai uae business directory']",Transport
emirates transport dubai,"['office', 'transport company in uae branches gis', 'transport emiratestrans photos and videos', 'transport driving institute', 'transport', 'transport careers dubai jobs', 'مواصلات الإمارات transport', 'transport for everyoneevery where', 'office dubai uae business directory', 'transport and rental']",Transport
cravia inc llc abudhabi,"['llc careers and employment indeedcom', 'inc', 'craviacom home', 'inc company information contact address website phone', 'cravia fajr capital', 'cravia cravia_inc photos and videos', 'llc branch of dhabi local infobelae', 'inc al hattan street dhabi gis']",Undefined
abu dhabi police auh,"['abudhabi police', 'ghq eservices home', 'police', 'traffic fines payment tamm', 'police tamm', 'contact us', 'public services ghq']",Transport
spar machine 3 abu dhabi,"['du payment machine city dhabi localsearchae', 'uae pass kiosk locations uae dubaiguidecom', 'spar hypermarket city official', 'uae sale offers locations store info shopping informer', 'spar society', 'uae', 'society home', 'big savings spar from ad society until st february', 'spar united arab emirates dhabi spar international', 'spar uae top dealers suppliers atninfo']",Supermarket
mcdonalds waitrose kha abu dhabi,"[""mcdonald's delivery service in uae talabat"", 'city supermarket topratedonline', 'city pinkberry in dhabi', ""restaurants near me nearby mcdonald's locations"", 'takeaway in masdar city order with deliveroo', ""mcdonald's dhabi zomato"", ""mcdonald's restaurant dhabi menupagesae"", ""mcdonald's menu for in madinat khalifa talabat"", 'city uae dubai mcarthur company']",Dining
dubai insurance comp dubai,"['insurance group', 'iloe insurance', 'basic plan insurance', 'co psc', 'about us insurance', 'co', 'insurance', 'company psc united arab emirates emis', 'workers protection program insurance', 'car insurance']",Insurance
health first pharm.br9 abu dhabi,"['pharmacy dhabi yango maps', 'صيدلية هيلث فيرست', 'pharmacy bani yas gis', 'first planet pharmacy', 'pharmacy', 'pharmacy dubai healthcare guide', 'xls iris health services rakinsurance', 'pharmacy branch malaffi', ""pharmacy wad'ah gis"", 'store locator pharmacy']",Healthcare
udn restaurant abu dhabi,"['dhabi', 'zomato', 'menu of zomato', 'dhabi gis', 'udn udnae photos and videos', 'restaurant', 'dhabi menupagesae', ""inside udn how an emirati pilot started abu dhabi's first udon"", 'restaurant menu for delivery dhabi hills talabat', 'al wahdah delivery from zayed sports city']",Dining
ace-yas island-alfutta abu dhabi,"['hardware uae sale offers locations store info', 'ace official online store for home garden hardware furniture', 'island branch dhabi location wowdeals', 'al futtaim ace', 'ace store locations branches in dubai uae', 'ace', 'island dhabi united arab emirates', 'ace has your back to school checklist', 'plug ins opens new store in mall', 'mall']",Shopping
adnoc gas abu dhabi,"['شركة بترول أبو ظبي الوطنية dhabi national oil company', 'service stationkhalifa city', 'us adnoc', 'us company', 'adnoc gas gas', 'company', 'adnoc city gas', 'service station al daar', 'gas adnoc distribution', 'adnoc maximum energy minimum emissions']",Transport
cesumar maringa - 666.39 brl,['unicesumar educação presencial distância'],Education
,
